Vbias=0,lp=5e-06,wn=2e-05,wp=5e-05,m1-gm,m0-gm,m0-rout,,,,,,,
7.01181E-12,1.2,7.01182E-12,2.63E-04,1.2,0.8,0.8,,,,,,,
1.90817E-11,1.16,1.90817E-11,4.75E-04,1.16,0.84,0.84,,,,,,,
5.18885E-11,1.12,5.18885E-11,6.88E-04,1.12,0.88,0.88,,,,,,,
1.40926E-10,1.08,1.40926E-10,9.00E-04,1.08,0.92,0.92,,,,,,,
3.81988E-10,1.04,3.81988E-10,5.00E-05,1.04,0.96,0.96,,,,,,,
1.03213E-09,1,1.03213E-09,2.63E-04,1,1,1,,,,,,,
2.77485E-09,0.96,2.77485E-09,4.75E-04,0.96,1.04,1.04,,,,,,,
7.40199E-09,0.92,7.40199E-09,6.88E-04,0.92,1.08,1.08,,,,,,,
1.95117E-08,0.88,1.95117E-08,9.00E-04,0.88,1.12,1.12,,,,,,,
5.05509E-08,0.84,5.05509E-08,5.00E-05,0.84,1.16,1.16,,,,,,,
1.91917E-07,0.12,3.02764E-07,2.63E-04,0.12,1.2,1.2,,,,,,,
1.99605E-07,0.08,3.1477E-07,4.75E-04,0.08,1.24,1.24,,,,,,,
2.15585E-07,0.16,3.40404E-07,6.88E-04,0.16,1.28,1.28,,,,,,,
2.20606E-07,0.04,3.47816E-07,9.00E-04,0.04,1.32,1.32,,,,,,,
2.49064E-07,0,3.92614E-07,5.00E-05,0,1.36,1.36,,,,,,,
1.27931E-07,0.8,1.27931E-07,2.63E-04,0.8,1.4,1.4,,,,,,,
3.23666E-07,0.2,5.11831E-07,4.75E-04,0.2,1.44,1.44,,,,,,,
6.6877E-07,0.24,1.05954E-06,6.88E-04,0.24,1.48,1.48,,,,,,,
3.14666E-07,0.76,3.14666E-07,9.00E-04,0.76,1.52,1.52,,,,,,,
1.68405E-06,0.28,2.67588E-06,5.00E-05,0.28,1.56,1.56,,,,,,,
7.51421E-07,0.72,7.51421E-07,2.63E-04,0.72,1.6,1.6,,,,,,,
1.74629E-06,0.68,1.74629E-06,4.75E-04,0.68,1.64,1.64,,,,,,,
4.60263E-06,0.32,7.39006E-06,6.88E-04,0.32,1.68,1.68,,,,,,,
3.93275E-06,0.64,3.93275E-06,9.00E-04,0.64,1.72,1.72,,,,,,,
1.32271E-05,0.36,2.19198E-05,5.00E-05,0.36,1.76,1.76,,,,,,,
8.37993E-06,0.6,8.37995E-06,2.63E-04,0.6,1.8,1.8,,,,,,,
4.52543E-05,0.4,7.47959E-05,4.75E-04,0.4,1.84,1.84,,,,,,,
1.62793E-05,0.56,1.62794E-05,6.88E-04,0.56,1.88,1.88,,,,,,,
2.80779E-05,0.52,2.80782E-05,9.00E-04,0.52,1.92,1.92,,,,,,,
4.28895E-05,0.48,4.28905E-05,5.00E-05,0.48,1.96,1.96,,,,,,,
5.89859E-05,0.44,5.89903E-05,2.63E-04,0.44,2,2,,,,,,,
1.37293E-20,2,1.37699E-20,4.75E-04,2,0,0,,,,,,,
3.7437E-20,1.96,3.75257E-20,6.88E-04,1.96,0.04,0.04,,,,,,,
1.02076E-19,1.92,1.02269E-19,9.00E-04,1.92,0.08,0.08,,,,,,,
2.78306E-19,1.88,2.78723E-19,5.00E-05,1.88,0.12,0.12,,,,,,,
7.58744E-19,1.84,7.59643E-19,2.63E-04,1.84,0.16,0.16,,,,,,,
2.06845E-18,1.8,2.07037E-18,4.75E-04,1.8,0.2,0.2,,,,,,,
5.63859E-18,1.76,5.64269E-18,6.88E-04,1.76,0.24,0.24,,,,,,,
1.537E-17,1.72,1.53787E-17,9.00E-04,1.72,0.28,0.28,,,,,,,
4.18943E-17,1.68,4.19126E-17,5.00E-05,1.68,0.32,0.32,,,,,,,
1.14187E-16,1.64,1.14225E-16,2.63E-04,1.64,0.36,0.36,,,,,,,
3.11211E-16,1.6,3.11289E-16,4.75E-04,1.6,0.4,0.4,,,,,,,
8.4815E-16,1.56,8.48311E-16,6.88E-04,1.56,0.44,0.44,,,,,,,
2.31138E-15,1.52,2.31171E-15,9.00E-04,1.52,0.48,0.48,,,,,,,
6.29867E-15,1.48,6.29933E-15,5.00E-05,1.48,0.52,0.52,,,,,,,
1.71635E-14,1.44,1.71648E-14,2.63E-04,1.44,0.56,0.56,,,,,,,
4.67669E-14,1.4,4.67694E-14,4.75E-04,1.4,0.6,0.6,,,,,,,
1.27421E-13,1.36,1.27426E-13,6.88E-04,1.36,0.64,0.64,,,,,,,
3.47141E-13,1.32,3.47151E-13,9.00E-04,1.32,0.68,0.68,,,,,,,
9.45615E-13,1.28,9.45634E-13,5.00E-05,1.28,0.72,0.72,,,,,,,
