Vbias,lp,wn,wp,r_out,gm_m0,gm_m1
0,0.00003375,0.000005,0.00018,8042,1.62E-09,3.303E-08
0,0.00003375,0.0000075,0.00018,8043,2.432E-09,4.533E-08
0,0.00003375,0.00001,0.00018,8045,3.243E-09,5.763E-08
0,0.00003375,0.0000125,0.00018,8046,4.055E-09,6.992E-08
0,0.00003375,0.000015,0.00018,8047,4.867E-09,8.22E-08
0,0.00004,0.000005,0.002,7238,1.62E-09,3.396E-08
0,0.00004,0.0000075,0.002,7238,2.432E-09,4.627E-08
0,0.00004,0.00001,0.002,7238,3.243E-09,5.857E-08
0,0.00004,0.0000125,0.002,7238,4.055E-09,7.087E-08
0,0.00004,0.000015,0.002,7238,4.867E-09,8.315E-08
0,0.000015,0.000005,0.00012,14300,1.62E-09,3.02E-08
0,0.000015,0.0000075,0.00012,14300,2.432E-09,4.249E-08
0,0.000015,0.00001,0.00012,14300,3.243E-09,5.477E-08
0,0.000015,0.0000125,0.00012,14300,4.055E-09,6.703E-08
0,0.000015,0.000015,0.00012,14300,4.867E-09,7.928E-08
0,0.00002125,0.000005,0.00014,12260,1.62E-09,3.114E-08
0,0.00002125,0.0000075,0.00014,12260,2.432E-09,4.344E-08
0,0.00002125,0.00001,0.00014,12260,3.243E-09,5.572E-08
0,0.00002125,0.0000125,0.00014,12260,4.055E-09,6.799E-08
0,0.00002125,0.000015,0.00014,12270,4.867E-09,8.025E-08
0,0.0000275,0.000005,0.00016,10730,1.62E-09,3.208E-08
0,0.0000275,0.0000075,0.00016,10730,2.432E-09,4.438E-08
0,0.0000275,0.00001,0.00016,10730,3.243E-09,5.667E-08
0,0.0000275,0.0000125,0.00016,10730,4.055E-09,6.895E-08
0,0.0000275,0.000015,0.00016,10730,4.867E-09,8.121E-08
0,0.00003375,0.000005,0.00018,9533,1.62E-09,3.302E-08
0,0.00003375,0.0000075,0.00018,9535,2.432E-09,4.532E-08
0,0.00003375,0.00001,0.00018,9537,3.243E-09,5.762E-08
0,0.00003375,0.0000125,0.00018,9538,4.055E-09,6.99E-08
0,0.00003375,0.000015,0.00018,9540,4.867E-09,8.217E-08
0,0.00004,0.000005,0.002,8580,1.62E-09,3.396E-08
0,0.00004,0.0000075,0.002,8581,2.432E-09,4.627E-08
0,0.00004,0.00001,0.002,8582,3.243E-09,5.856E-08
0,0.00004,0.0000125,0.002,8584,4.055E-09,7.085E-08
0,0.00004,0.000015,0.002,8585,4.867E-09,8.313E-08
0,0.000015,0.000005,0.00012,8072,1.62E-09,5.002E-08
0,0.000015,0.0000075,0.00012,8074,2.432E-09,7.325E-08
0,0.000015,0.00001,0.00012,8076,3.243E-09,9.651E-08
0,0.000015,0.0000125,0.00012,8077,4.055E-09,1.198E-07
0,0.000015,0.000015,0.00012,8079,4.867E-09,0.000000143
0,0.00002125,0.000005,0.00014,6918,3.081E-07,5.06E-08
0,0.00002125,0.0000075,0.00014,6920,4.624E-07,7.388E-08
0,0.00002125,0.00001,0.00014,6921,6.168E-07,9.71E-08
0,0.00002125,0.0000125,0.00014,6922,7.711E-07,1.204E-07
0,0.00002125,0.000015,0.00014,6924,9.254E-07,1.436E-07
0.2222222,0.0000275,0.000005,0.00016,6053,3.081E-07,5.119E-08
0.2222222,0.0000275,0.0000075,0.00016,6054,4.624E-07,7.448E-08
0.2222222,0.0000275,0.00001,0.00016,6055,6.168E-07,9.77E-08
0.2222222,0.0000275,0.0000125,0.00016,6056,7.711E-07,0.000000121
0.2222222,0.0000275,0.000015,0.00016,6057,9.254E-07,1.442E-07
0.2222222,0.00003375,0.000005,0.00018,5380,3.081E-07,5.179E-08
0.2222222,0.00003375,0.0000075,0.00018,5381,4.624E-07,7.508E-08
0.2222222,0.00003375,0.00001,0.00018,5382,6.168E-07,9.833E-08
0.2222222,0.00003375,0.0000125,0.00018,5383,7.711E-07,1.216E-07
0.2222222,0.00003375,0.000015,0.00018,5384,9.254E-07,1.448E-07
0.2222222,0.00004,0.000005,0.002,4842,3.081E-07,5.239E-08
0.2222222,0.00004,0.0000075,0.002,4843,4.624E-07,7.568E-08
0.2222222,0.00004,0.00001,0.002,4843,6.168E-07,9.894E-08
0.2222222,0.00004,0.0000125,0.002,4844,7.711E-07,1.222E-07
0.2222222,0.00004,0.000015,0.002,4845,9.254E-07,1.454E-07
0.2222222,0.000015,0.000005,0.00012,11440,3.081E-07,5.001E-08
0.2222222,0.000015,0.0000075,0.00012,11450,4.624E-07,7.326E-08
0.2222222,0.000015,0.00001,0.00012,11450,6.168E-07,9.651E-08
0.2222222,0.000015,0.0000125,0.00012,11450,7.711E-07,1.198E-07
0.2222222,0.000015,0.000015,0.00012,11460,9.254E-07,0.000000143
0.2222222,0.00002125,0.000005,0.00014,11460,3.081E-07,5.063E-08
0.2222222,0.00002125,0.0000075,0.00014,9807,4.624E-07,7.386E-08
0.2222222,0.00002125,0.00001,0.00014,9810,6.168E-07,9.711E-08
0.2222222,0.00002125,0.0000125,0.00014,9813,7.711E-07,1.204E-07
0.2222222,0.00002125,0.000015,0.00014,9816,9.254E-07,1.436E-07
0.2222222,0.0000275,0.000005,0.00016,9818,3.081E-07,5.123E-08
0.2222222,0.0000275,0.0000075,0.00016,8581,4.624E-07,7.446E-08
0.2222222,0.0000275,0.00001,0.00016,8583,6.168E-07,9.771E-08
0.2222222,0.0000275,0.0000125,0.00016,8585,7.711E-07,0.000000121
0.2222222,0.0000275,0.000015,0.00016,8587,9.254E-07,1.442E-07
0.2222222,0.00003375,0.000005,0.00018,8589,3.081E-07,5.183E-08
0.2222222,0.00003375,0.0000075,0.00018,7627,4.624E-07,7.506E-08
0.2222222,0.00003375,0.00001,0.00018,7628,6.168E-07,9.831E-08
0.2222222,0.00003375,0.0000125,0.00018,7630,7.711E-07,1.216E-07
0.2222222,0.00003375,0.000015,0.00018,7632,9.254E-07,1.448E-07
0.2222222,0.00004,0.000005,0.002,7633,0.000000925,5.243E-08
0.2222222,0.00004,0.0000075,0.002,6864,0.000000308,7.568E-08
0.2222222,0.00004,0.00001,0.002,6865,0.000000462,9.891E-08
0.2222222,0.00004,0.0000125,0.002,6866,0.000000617,1.222E-07
0.2222222,0.00004,0.000015,0.002,6868,0.000000771,1.454E-07
0.2222222,0.000015,0.000005,0.00012,6869,0.000000925,5.001E-08
0.2222222,0.000015,0.0000075,0.00012,14820,0.000000308,7.326E-08
0.2222222,0.000015,0.00001,0.00012,14820,0.000000462,9.652E-08
0.2222222,0.000015,0.0000125,0.00012,14820,0.000000617,1.198E-07
0.2222222,0.000015,0.000015,0.00012,14820,0.000000771,0.000000143
0.2222222,0.00002125,0.000005,0.00014,14820,0.000000925,5.061E-08
0.2222222,0.00002125,0.0000075,0.00014,12700,0.000000308,7.386E-08
0.2222222,0.00002125,0.00001,0.00014,12700,0.000000462,9.712E-08
0.2222222,0.00002125,0.0000125,0.00014,12710,0.000000617,1.204E-07
0.2222222,0.00002125,0.000015,0.00014,12710,0.000000771,1.436E-07
0.2222222,0.0000275,0.000005,0.00016,12720,0.000000925,5.121E-08
0.2222222,0.0000275,0.0000075,0.00016,11110,0.000000308,7.446E-08
0.2222222,0.0000275,0.00001,0.00016,11110,0.000000462,9.772E-08
0.2222222,0.0000275,0.0000125,0.00016,11120,0.000000617,0.000000121
0.2222222,0.0000275,0.000015,0.00016,11120,0.000000771,1.442E-07
0.2222222,0.00003375,0.000005,0.00018,11120,0.000000925,0.000000144
0.2222222,0.00003375,0.0000075,0.00018,9874,0.000000308,5.183E-08
0.2222222,0.00003375,0.00001,0.00018,9877,0.000000462,7.506E-08
0.2222222,0.00003375,0.0000125,0.00018,9880,0.000000617,9.832E-08
0.2222222,0.00003375,0.000015,0.00018,9882,0.000000771,1.216E-07
0.2222222,0.00004,0.000005,0.002,9885,0.000000925,1.448E-07
0.2222222,0.00004,0.0000075,0.002,8886,0.000000308,5.243E-08
0.2222222,0.00004,0.00001,0.002,8888,0.000000462,7.566E-08
0.2222222,0.00004,0.0000125,0.002,8891,0.000000617,9.891E-08
0.2222222,0.00004,0.000015,0.002,8893,0.000000771,1.222E-07
0.2222222,0.000015,0.000015,0.00012,8895,0.000000925,1.454E-07
0.2222222,0.000015,0.000005,0.00012,18190,0.000000308,5.001E-08
0.2222222,0.000015,0.0000075,0.00012,18200,0.000000462,7.327E-08
0.2222222,0.000015,0.00001,0.00012,18210,0.000000617,9.652E-08
0.2222222,0.000015,0.0000125,0.00012,18220,0.000000771,1.198E-07
0.2222222,0.00002125,0.000015,0.00014,18230,0.000000925,0.000000143
0.2222222,0.00002125,0.000005,0.00014,15590,0.000000308,5.061E-08
0.2222222,0.00002125,0.0000075,0.00014,15600,0.000000462,7.387E-08
0.2222222,0.00002125,0.00001,0.00014,15600,0.000000617,9.712E-08
0.2222222,0.00002125,0.0000125,0.00014,15610,0.000000771,1.204E-07
0.2222222,0.0000275,0.000015,0.00016,15620,0.000000925,1.436E-07
0.2222222,0.0000275,0.000005,0.00016,13640,0.000000308,5.121E-08
0.2222222,0.0000275,0.0000075,0.00016,13640,0.000000462,7.447E-08
0.2222222,0.0000275,0.00001,0.00016,13650,0.000000617,9.772E-08
0.2222222,0.0000275,0.0000125,0.00016,13650,0.000000771,0.000000121
0.2222222,0.00003375,0.000015,0.00018,13660,0.000000925,1.442E-07
0.2222222,0.00003375,0.000005,0.00018,12120,0.000000308,5.181E-08
0.2222222,0.00003375,0.0000075,0.00018,12130,0.000000462,7.507E-08
0.2222222,0.00003375,0.00001,0.00018,12130,0.000000617,9.832E-08
0.2222222,0.00003375,0.0000125,0.00018,12130,0.000000771,1.216E-07
0.2222222,0.00004,0.000015,0.002,12140,0.000000925,1.448E-07
